protein_id,protein_name,verified_activity,organism_id,organism_name,phylum,substrates, EMBL-GenBank-DDBJ_CDS,EMBL-GenBank-DDBJ_CDS,MGnify,PDB,RefSeq_Protein,UniParc,UniProtKB,UniRef100,UniRef50,UniRef90,literature_dois,sequence_length
212,Est18_23,1,151,Caldibacillus thermoamylovorans,Bacillota,PET,,,,,WP_041847557,,,,,,https://doi.org/10.1016/j.ijbiomac.2024.129538,491
213,Ces19_14,1,151,Caldibacillus thermoamylovorans,Bacillota,PET,,CEE00383;CEE00383.1,,,WP_034767800;WP_034767800.1,UPI0005058543,A0A090IVG8,UniRef100_A0A090IVG8,UniRef50_A0A090IVG8;UniRef50_A0ABD4A7A7,UniRef90_A0A090IVG8;UniRef90_A0ABD4A7A7,https://doi.org/10.1016/j.ijbiomac.2024.129538,240
214,Ces39_5,1,151,Caldibacillus thermoamylovorans,Bacillota,PET,,,,,WP_108898647,,,,,,https://doi.org/10.1016/j.ijbiomac.2024.129538,249
215,CaPETase,1,152,Cryptosporangium aurantiacum,Actinomycetota,PET,,SHM40309,,7YM9;7YME,,UPI00091BE4D5,A0A1M7II12,UniRef100_A0A1M7II12,UniRef50_A0A4V0ZKB9;UniRef50_A0A365HAJ8,UniRef90_A0A1M7II12,https://doi.org/10.1038/s41467-023-40233-w,299
223,HG-2,1,159,Holdemanella biformis,Bacillota,PET,,RHB05449,,,WP_118011433;WP_118011433.1,UPI000E4BBB7A,A0A413UCA3,UniRef100_A0A413UCA3,UniRef50_C7N773,UniRef90_B7C847,https://doi.org/10.3390/microorganisms12010138,259
224,HG-3,1,160,Clostridiales bacterium AM23-16LB,Bacillota,PET,,RGD93181,,,,,,,,,https://doi.org/10.3390/microorganisms12010138,270
225,HG-4,1,161,Heyndrickxia coagulans,Bacillota,PET,,KYC60545;KYC60545.1,,,WP_013858543;WP_013858543.1,UPI000210FD27,A0A150JTB6,UniRef100_A0A150JTB6,UniRef50_A0A150JTB6,UniRef90_A0A150JTB6,https://doi.org/10.3390/microorganisms12010138,254
226,HG-5,1,162,Longicatena bacterium,Bacillota,PET,,,,,,,,,,,https://doi.org/10.3390/microorganisms12010138,313
227,jmPE13,1,12,Pseudomonas sp.,Pseudomonadota,PBAT|PET,,,,,,,,,,,https://doi.org/10.3389/fbioe.2024.1349010,273
228,jmPE14,1,12,Pseudomonas sp.,Pseudomonadota,PBAT|PET,,,,,,,,,,,https://doi.org/10.3389/fbioe.2024.1349010,271
230,TaC,1,166,Thermocarpiscus australiensis,Ascomycota,PET,,,,,,,,,,,https://doi.org/10.1021/acssuschemeng.4c00060,228
231,DmC,1,167,Dactylonectria macrodidyma,Ascomycota,PET,,KAH7127633,,,,UPI001DB3B9E9,A0A9P9DYB3,UniRef100_A0A9P9DYB3,UniRef50_A0A559L1V9;UniRef50_A0A9P9EQT6,UniRef90_A0A9P9DYB3,https://doi.org/10.1021/acssuschemeng.4c00060,238
232,RtC,1,168,Remersonia thermophila,Ascomycota,PET,,,,,,,,,,,https://doi.org/10.1021/acssuschemeng.4c00060,231
235,LipMRD9,1,170,Bacillus safensis,Bacillota,PET,,APJ12152,,,,,,,,,https://doi.org/10.1002/cctc.202400765,215
236,dsPETase01,1,171,Aeromicrobium sp.,Actinomycetota,PET,,,,,,,,,,,https://doi.org/10.1038/s41586-024-07891-2,287
237,dsPETase05,1,172,Gammaproteobacteria bacterium,Pseudomonadota,PET,,,,,,,,,,,https://doi.org/10.1038/s41586-024-07891-2,301
238,dsPETase06,1,173,Pseudomonadota bacterium,Pseudomonadota,PET,,MEC8523093,,,,,,,,,https://doi.org/10.1038/s41586-024-07891-2,292
239,TmFae-PETase,1,,,,PET,,,,,,,,,,,https://doi.org/10.1021/acs.est.4c01495,
240,Dkca1,1,174,Dietzia kunjamensis,Actinomycetota,PET,,WID88783,,,,,,,,,https://doi.org/10.1016/j.bbrc.2024.150833,462
241,PpPETase,1,175,Pseudomonas paralcaligenes,Pseudomonadota,PET,,,,,WP_220815207,,,,,,https://doi.org/10.1016/j.jhazmat.2024.134532,298
242,ScPETase,1,176,Streptomyces calvus,Actinomycetota,PET,,QDI72884;MBA8945451;MBA8945451.1;QDI72884.1;GAA3204575,,,WP_142197250.1,UPI00114DF279,A0A514JZP5;A0ABP6Q5U8,UniRef100_A0A514JZP5,UniRef50_D2BFB4,UniRef90_A0A081XXP9,https://doi.org/10.1016/j.jhazmat.2024.134532,300
243,HGMP01,1,,,,PET,,,,,,,,,,,https://doi.org/10.1016/j.ijbiomac.2024.137732,275
244,PD3,1,177,Brucella anthropi,Pseudomonadota,PET,,QPA27412,,,,,,,,,https://doi.org/10.1021/acsomega.4c04843,352
250,Glutathione S-transferase,1,,,,PET,,,,,,,,,,,https://doi.org/10.1021/acs.est.4c02132,
251,Trypsin,1,375,Sus scrofa,Chordata,PET,,,,,,,P00761,,,,https://doi.org/10.1021/acs.est.4c02132,231
252,CYP450,1,183,Homo sapiens,Chordata,PET,,,,,,,P08684,,,,https://doi.org/10.1021/acs.est.4c02132,503
256,APET-5,1,185,Lentzea guizhouensis,Actinomycetota,PET,,,,,WP_218920366.1,,,,,,https://doi.org/10.1038/s41467-025-61599-z,278
257,KbPETase,1,186,Kibdelosporangium banguiense,Actinomycetota,PET,,MBP2325020,,,WP_209642273.1,UPI001AE80D95,A0ABS4TKU6,UniRef100_A0ABS4TKU6,UniRef50_A0A1N6SMU6,UniRef90_A0ABS4TKU6,https://doi.org/10.1038/s41467-025-61599-z,254
258,APET-15,1,187,Actinomadura atramentaria,Actinomycetota,PET,,,,,WP_019629726.1,,,,,,https://doi.org/10.1038/s41467-025-61599-z,259
259,APET-17,1,188,Rhizobacter sp.,Pseudomonadota,PET,,MBX3625601.1,,,,,,,,,https://doi.org/10.1038/s41467-025-61599-z,263
260,APET-19,1,189,Thermomonospora umbrina,Actinomycetota,PET,,REE98418,,,WP_116023875.1,UPI000E2585CD,A0A3D9SRH8,UniRef100_A0A3D9SRH8,UniRef50_A0A3D9SRH8;UniRef50_Q9L2J6,UniRef90_A0A3D9SRH8,https://doi.org/10.1038/s41467-025-61599-z,254
261,APET-20,1,190,Solirubrobacteraceae bacterium,Actinomycetota,PET,,MBO9532528.1,,,,,,,,,https://doi.org/10.1038/s41467-025-61599-z,267
262,APET-23,1,191,Alphaproteobacteria bacterium,Pseudomonadota,PET,,MSQ87502.1,,,,,,,,,https://doi.org/10.1038/s41467-025-61599-z,326
263,APET-24,1,192,Actinomadura flavalba,Actinomycetota,PET,,,,,WP_018657411.1,,,,,,https://doi.org/10.1038/s41467-025-61599-z,248
264,APET-25,1,193,Actinophytocola sp.,Actinomycetota,PET,,MPZ00478.1,,,,,,,,,https://doi.org/10.1038/s41467-025-61599-z,256
265,APET-26,1,194,Dactylosporangium siamense,Actinomycetota,PET,,GIG45650;GIG45650.1,,,WP_203847453.1,UPI0019413FEB,A0A919PNJ3,UniRef100_A0A919PNJ3,UniRef50_A0A7W3LXJ4,UniRef90_A0A919PNJ3,https://doi.org/10.1038/s41467-025-61599-z,242
266,APET-27,1,195,Halopseudomonas oceani,Pseudomonadota,PET,,POB00859;POB00859.1,,,WP_104739856.1,UPI000CF19C64,A0A2P4EQG9,UniRef100_A0A2P4EQG9,UniRef50_A0A1H2ERN9,UniRef90_A0A2P4EQG9,https://doi.org/10.1038/s41467-025-61599-z,253
267,APET-28,1,196,Cellvibrionaceae bacterium,Pseudomonadota,PET,,MBX2857432.1,,,,,,,,,https://doi.org/10.1038/s41467-025-61599-z,244
268,APET-29,1,172,Gammaproteobacteria bacterium,Pseudomonadota,PET,,MBE65357.1,,,,,,,,,https://doi.org/10.1038/s41467-025-61599-z,276
269,APET-32,1,197,Oleibacter sp. HI0075,Pseudomonadota,PET,,KZY99137.1,,,,,,,,,https://doi.org/10.1038/s41467-025-61599-z,263
270,Mipa-P,1,198,Micromonospora pattaloongensis,Actinomycetota,PET,,SDZ16714.1;SDZ16714,,8YTU;8YTV;9IW9,WP_217634878.1,UPI00089AB700,A0A1H3QT72,UniRef100_A0A1H3QT72,UniRef50_A0A365HAJ8;UniRef50_A0A1N6SMU6,UniRef90_A0A1H3QT72,https://doi.org/10.1126/science.adp5637,294
271,1628,1,198,Micromonospora pattaloongensis,Actinomycetota,PET,,SDY46727;SDY46727.1,,,WP_091553551.1,UPI0008976C5C,A0A1H3K3E8,UniRef100_A0A1H3K3E8,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A1H3K3E8;UniRef90_A0A6V8KDL4,https://doi.org/10.1126/science.adp5637,463
272,1611,1,199,Micromonospora ureilytica,Actinomycetota,PET,,,,,WP_124822775.1,,,,,,https://doi.org/10.1126/science.adp5637,465
273,1625,1,200,Plantactinospora sp. CNZ320,Actinomycetota,PET,,,,,WP_101366623.1,,,,,,https://doi.org/10.1126/science.adp5637,468
274,1603,1,201,Micromonospora arborensis,Actinomycetota,PET,,,,,WP_110567505.1,,,,,,https://doi.org/10.1126/science.adp5637,465
275,1663,1,202,Kibdelosporangium aridum,Actinomycetota,PET,,,,,WP_084434874.1,,,,,,https://doi.org/10.1126/science.adp5637,289
276,Kubu-P,1,203,Kutzneria buriramensis,Actinomycetota,PET,,REH34752;REH34752.1,,8YTW;8YTY;8YTZ,WP_116180173.1,UPI000E280B2B,A0A3E0H050,UniRef100_A0A3E0H050,UniRef50_A0A3E0H050;UniRef50_A0A1N6SMU6,UniRef90_A0A3E0H050,https://doi.org/10.1126/science.adp5637,288
277,1538,1,204,Plantactinospora sp. B6F1,Actinomycetota,PET,,,,,WP_130464304.1,,,,,,https://doi.org/10.1126/science.adp5637,472
278,1465,1,205,Saccharothrix sp. CB00851,Actinomycetota,PET,,,,,WP_073887759.1,,,,,,https://doi.org/10.1126/science.adp5637,415
279,1621,1,206,Micromonospora chokoriensis,Actinomycetota,PET,,SCF06241;SCF06241.1,,,WP_088988822.1,UPI00081D158A,A0A1C4XDC9,UniRef100_A0A1C4XDC9,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A1C4XDC9,https://doi.org/10.1126/science.adp5637,465
280,1617,1,207,Micromonospora lupini,Actinomycetota,PET,,CCH19814.1;CCH19814,,,,UPI00025C03A6,I0L7L7,UniRef100_I0L7L7,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_I0L7L7,https://doi.org/10.1126/science.adp5637,465
281,1534,1,208,Micromonospora sp. NRRL B-16802,Actinomycetota,PET,,,,,WP_082377728.1,,,,,,https://doi.org/10.1126/science.adp5637,469
282,1489,1,209,Micromonospora sp. KC723,Actinomycetota,PET,,,,,WP_132386942.1,,,,,,https://doi.org/10.1126/science.adp5637,447
283,1521,1,210,Micromonospora sp. KC213,Actinomycetota,PET,,,,,WP_132337032.1,,,,,,https://doi.org/10.1126/science.adp5637,443
284,1525,1,211,Verrucosispora sp. CNZ293,Actinomycetota,PET,,,,,WP_099848711.1,,,,,,https://doi.org/10.1126/science.adp5637,444
285,1468,1,212,Kribbella albertanoniae,Actinomycetota,PET,,TDC21237,,,WP_132413760.1,UPI00104DEC55,A0A4R4PH12,UniRef100_A0A4R4PH12,UniRef50_A0A243S155,UniRef90_A0A4R4PH12,https://doi.org/10.1126/science.adp5637,444
286,1507,1,213,Catellatospora sichuanensis,Actinomycetota,PET,,,,,WP_144126986.1,,,,,,https://doi.org/10.1126/science.adp5637,275
287,1491,1,214,Saccharothrix sp. NRRL B-16348,Actinomycetota,PET,,,,,WP_082403176.1,,,,,,https://doi.org/10.1126/science.adp5637,455
288,1821,1,215,Streptomyces violaceusniger,Actinomycetota,PET,,,,,WP_137976057.1,,,,,,https://doi.org/10.1126/science.adp5637,378
289,1477,1,216,Streptomyces sp. RP5T,Actinomycetota,PET,,,,,WP_125191182.1,,,,,,https://doi.org/10.1126/science.adp5637,315
290,1482,1,217,Saccharothrix saharensis,Actinomycetota,PET,,,,,WP_141984372.1,,,,,,https://doi.org/10.1126/science.adp5637,413
291,1522,1,218,Catellatospora paridis,Actinomycetota,PET,,,,,WP_155388305.1,,,,,,https://doi.org/10.1126/science.adp5637,276
292,1546,1,219,Micromonospora sp. (multispecies),Actinomycetota,PET,,,,,WP_013736455.1,UPI000206AC8C,A0A9X0I4X4,UniRef100_A0A9X0I4X4,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A9X0I4X4,https://doi.org/10.1126/science.adp5637,448
293,385,1,220,Thermoactinospora rubra,Actinomycetota,PET,,,,,WP_143590710.1,,,,,,https://doi.org/10.1126/science.adp5637,272
294,1642,1,221,Micromonospora orduensis,Actinomycetota,PET,,TNH28703,,,WP_139584963.1,UPI00111B7A89,A0A5C4QSJ8,UniRef100_A0A5C4QSJ8,UniRef50_A0A243S155,UniRef90_A0A5C4QSJ8,https://doi.org/10.1126/science.adp5637,465
295,917,1,222,Actinomadura bacterium,Actinomycetota,PET,,,,,WP_083950838.1,,,,,,https://doi.org/10.1126/science.adp5637,297
296,1537,1,223,Streptomyces sp. CB00455,Actinomycetota,PET,,OKK16161.1,,,,,,,,,https://doi.org/10.1126/science.adp5637,425
297,1519,1,224,Verrucosispora sp. SN26_14.1,Actinomycetota,PET,,,,,WP_131056699.1,,,,,,https://doi.org/10.1126/science.adp5637,426
298,1678,1,225,Lentzea aerocolonigenes,Actinomycetota,PET,,KJK32948,,,WP_045318561.1,UPI0005EC3BAA,A0A0F0GA73,UniRef100_A0A0F0GA73,UniRef50_A0A941ALA2;UniRef50_A0A243S155,UniRef90_A0A0F0GA73,https://doi.org/10.1126/science.adp5637,424
299,1496,1,226,Streptomyces acidiscabies,Actinomycetota,PET,,,,,WP_075737041.1,,,,,,https://doi.org/10.1126/science.adp5637,304
300,1169,1,185,Lentzea guizhouensis,Actinomycetota,PET,,ANZ39369,,,WP_065917710.1,UPI00081A52E8,A0A1B2HNS7,UniRef100_A0A1B2HNS7,UniRef50_A0A4V0ZKB9;UniRef50_A0A365HAJ8,UniRef90_A0A1B2HNS7,https://doi.org/10.1126/science.adp5637,276
301,1637,1,227,Micromonospora violae,Actinomycetota,PET,,RZT79377;RZT79377.1,,,WP_130401777.1,UPI00102B0E4E,A0A4Q7UDQ3,UniRef100_A0A4Q7UDQ3,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A4Q7UDQ3,https://doi.org/10.1126/science.adp5637,462
302,1463,1,228,Dactylosporangium aurantiacum,Actinomycetota,PET,,,,,WP_081971423.1,,,,,,https://doi.org/10.1126/science.adp5637,265
303,1545,1,229,Micromonospora sediminimaris,Actinomycetota,PET,,,,,WP_093411427.1,,,,,,https://doi.org/10.1126/science.adp5637,467
304,554,1,230,Amycolatopsis kentuckyensis,Actinomycetota,PET,,,,,WP_086849962.1,,,,,,https://doi.org/10.1126/science.adp5637,309
305,1573,1,231,Lentzea atacamensis,Actinomycetota,PET,,PWK83820;PWK83820.1,,,WP_109639600.1,UPI000D6BE22F,A0A316HUR8,UniRef100_A0A316HUR8,UniRef50_A0A941ALA2;UniRef50_A0A243S155,UniRef90_A0A316HUR8,https://doi.org/10.1126/science.adp5637,422
306,1654,1,232,Crossiella equi,Actinomycetota,PET,,,,,WP_086784246.1,,,,,,https://doi.org/10.1126/science.adp5637,418
307,1555,1,233,Streptomyces achromogenes,Actinomycetota,PET,,,,,WP_078844206.1,,,,,,https://doi.org/10.1126/science.adp5637,348
308,1591,1,234,Micromonospora haikouensis,Actinomycetota,PET,,SCF06376;SCF06376.1,,,WP_091283529.1,UPI00081E2ADC,A0A1C4XD55,UniRef100_A0A1C4XD55,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A1C4YLV9,https://doi.org/10.1126/science.adp5637,463
309,1620,1,235,Micromonospora saelicesensis,Actinomycetota,PET,,,,,WP_112669767.1,,,,,,https://doi.org/10.1126/science.adp5637,461
310,1240,1,236,Luteipulveratus halotolerans,Actinomycetota,PET,,KNX38636.1;KNX38636,,,,UPI0006A49B64,A0A0L6CLF9,UniRef100_A0A0L6CLF9,UniRef50_A0A0L6CLF9,UniRef90_A0A0L6CLF9,https://doi.org/10.1126/science.adp5637,303
311,1594,1,237,Micromonospora carbonacea,Actinomycetota,PET,,,,,WP_083302694.1,,,,,,https://doi.org/10.1126/science.adp5637,463
312,1457,1,238,Amycolatopsis vastitatis,Actinomycetota,PET,,,,,WP_093954453.1,,,,,,https://doi.org/10.1126/science.adp5637,302
313,247,1,93,Steroidobacter cummioxidans,Pseudomonadota,PET,,,,,WP_116813002.1,,,,,,https://doi.org/10.1126/science.adp5637,288
314,1641,1,239,Micromonospora coriariae,Actinomycetota,PET,,,,,WP_089021493.1,,,,,,https://doi.org/10.1126/science.adp5637,460
315,1309,1,240,Nocardioides albertanoniae,Actinomycetota,PET,,TQL66274.1;TQL66274,,,WP_246087895.1,UPI00116EADF7,A0A543A134,UniRef100_A0A543A134,UniRef50_A0A7Z0IUR9;UniRef50_A0A365HAJ8,UniRef90_A0A543A134,https://doi.org/10.1126/science.adp5637,286
316,414,1,376,Amycolatopsis bacterium,Actinomycetota,PET,,ROS43649;ROS43649.1,,,WP_123685830.1,UPI000F4C86F0,A0A3N2H5C7,UniRef100_A0A3N2H5C7,UniRef50_D1A9G5;UniRef50_Q9L2J6,UniRef90_A0A3N2H5C7,https://doi.org/10.1126/science.adp5637,289
317,1506,1,241,Lentzea albidocapillata,Actinomycetota,PET,,SMC48522;SMC48522.1,,,WP_084400763.1,UPI0009D8A8A4,A0A1W1ZJY9,UniRef100_A0A1W1ZJY9,UniRef50_I0L7L7;UniRef50_A0A243S155,UniRef90_A0A1G8Q8L3,https://doi.org/10.1126/science.adp5637,436
318,1493,1,242,Micromonospora sp. KC606,Actinomycetota,PET,,,,,WP_132183354.1,,,,,,https://doi.org/10.1126/science.adp5637,454
319,1395,1,243,Herbihabitans rhizosphaerae,Actinomycetota,PET,,RZS34008.1;RZS34008,,,WP_242613666.1,UPI0010CF28B1,A0A4Q7KGM3,UniRef100_A0A4Q7KGM3,UniRef50_A0A0L6CLF9,UniRef90_A0A4Q7KGM3,https://doi.org/10.1126/science.adp5637,288
320,1478,1,244,Streptomyces ipomoeae,Actinomycetota,PET,,,,,WP_141569747.1,,,,,,https://doi.org/10.1126/science.adp5637,331
321,1571,1,245,Micromonospora inaquosa,Actinomycetota,PET,,,,,WP_124770494.1,,,,,,https://doi.org/10.1126/science.adp5637,329
322,169,1,246,Microbispora sp. GKU 823,Actinomycetota,PET,,OPG10926.1,,,,,,,,,https://doi.org/10.1126/science.adp5637,308
323,1638,1,247,Actinoplanes subtropicus,Actinomycetota,PET,,,,,WP_051808300.1,,,,,,https://doi.org/10.1126/science.adp5637,277
324,1868,1,248,Microbispora triticiradicis,Actinomycetota,PET,,,,,WP_111700265.1,,,,,,https://doi.org/10.1126/science.adp5637,436
325,1718,1,249,Kutzneria sp. 744,Actinomycetota,PET,,,,,WP_084578793.1,,,,,,https://doi.org/10.1126/science.adp5637,337
326,401,1,250,Micromonospora chalcea,Actinomycetota,PET,,,,,WP_104115406.1,,,,,,https://doi.org/10.1126/science.adp5637,296
327,1392,1,251,Streptomyces sp. MA5143a,Actinomycetota,PET,,SPF04022.1,,,,,,,,,https://doi.org/10.1126/science.adp5637,287
328,486,1,252,Micromonospora globbae,Actinomycetota,PET,,RKF29126;RKF29126.1,,,WP_120326365.1,UPI000E727470,A0A420F8B0,UniRef100_A0A420F8B0,UniRef50_D1A9G5;UniRef50_A0A1H5UML9,UniRef90_A0A420F8B0,https://doi.org/10.1126/science.adp5637,300
329,1424,1,253,Actinokineospora spheciospongiae,Actinomycetota,PET,,,,,WP_110080872.1,,,,,,https://doi.org/10.1126/science.adp5637,316
330,1475,1,254,Lentzea kentuckyensis,Actinomycetota,PET,,,,,WP_086668955.1,,,,,,https://doi.org/10.1126/science.adp5637,375
331,282,1,255,Amycolatopsis arida,Actinomycetota,PET,,,,,WP_092528534.1,,,,,,https://doi.org/10.1126/science.adp5637,299
332,1635,1,256,Micromonospora sp. HM134,Actinomycetota,PET,,,,,WP_145923095.1,,,,,,https://doi.org/10.1126/science.adp5637,487
333,1228,1,257,Actinokineospora iranica,Actinomycetota,PET,,,,,WP_091450391.1,,,,,,https://doi.org/10.1126/science.adp5637,281
334,1876,1,258,Streptomyces dysideae,Actinomycetota,PET,,KUO14559,,,WP_067035690.1,UPI00074649B9,A0A101UPP1,UniRef100_A0A101UPP1,UniRef50_A0A7W7GLP4;UniRef50_A0ABV8GUI5,UniRef90_A0A101UPP1,https://doi.org/10.1126/science.adp5637,423
335,1340,1,259,Actinomadura rubteroloni,Actinomycetota,PET,,POM25299;POM25299.1,,,WP_103564314.1,UPI000CD928EA,A0A2P4UJS9,UniRef100_A0A2P4UJS9,UniRef50_A0A4V0ZKB9;UniRef50_A0A365HAJ8,UniRef90_A0A2P4UJS9,https://doi.org/10.1126/science.adp5637,298
336,191,1,260,Streptomyces sp. SCA2-2,Actinomycetota,PET,,,,,WP_129849678.1,,,,,,https://doi.org/10.1126/science.adp5637,316
337,PC3,1,261,Thermomonospora echinospora,Actinomycetota,PET,,SEG69681.1;SEG69681,,,WP_103939557.1,UPI00089EEDB1,A0A1H6C9P0,UniRef100_A0A1H6C9P0,UniRef50_D1A9G5;UniRef50_A0A1H5UML9,UniRef90_A0A1H6C9P0,https://doi.org/10.1038/s41467-023-40233-w,292
338,PC4,1,262,Amycolatopsis eburnea,Actinomycetota,PET,,RSD13955;RSD13955.1,,,WP_125313231.1,UPI000F67F0F9,A0A3R9F716,UniRef100_A0A3R9F716,UniRef50_A0A4V0ZKB9;UniRef50_Q6A0I4,UniRef90_A0A3R9F716,https://doi.org/10.1038/s41467-023-40233-w,309
339,PC5,1,263,Actinokineospora bangkokensis,Actinomycetota,PET,,OLR92979;OLR92979.1,,,WP_075975245.1,UPI000962BCCF,A0A1Q9LLU8,UniRef100_A0A1Q9LLU8,UniRef50_A0A543NNU7;UniRef50_A0A1N6SMU6,UniRef90_A0A1Q9LLU8,https://doi.org/10.1038/s41467-023-40233-w,307
340,PC6,1,23,Thermobifida cellulosilytica,Actinomycetota,PET,,KUP97549;KUP97549.1,,,WP_068752972.1,UPI0007977732,A0A147KJY8,UniRef100_A0A147KJY8,UniRef50_Q6A0I4,UniRef90_A0A147KJY8,https://doi.org/10.1038/s41467-023-40233-w,300
341,PC8,1,264,Pseudomonadales bacterium,Pseudomonadota,PET,,MBA55398.1,,,,,,,,,https://doi.org/10.1038/s41467-023-40233-w,303
342,Nepenthesin-1,1,265,Nepenthes distillatoria,Streptophyta,PET|PUR,,,,,,,,,,,https://doi.org/10.1038/s41598-025-14331-2,
381,DP003,1,301,Jonesia denitrificans,Actinomycetota,PET,,ACV09511;ACV09511.1,,,,UPI00019BC6B1,C7QZV3,UniRef100_C7QZV3,UniRef50_A0A543NNU7,UniRef90_C7QZV3,https://doi.org/10.1021/acscatal.5c03460,259
382,DP006,1,302,Actinokineospora alba,Actinomycetota,PET,,TDP67440,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,263
383,DP007,1,253,Actinokineospora spheciospongiae,Actinomycetota,PET,,EWC60711,,,WP_035284691;WP_035284691.1,UPI0003ECE9B6,W7IW76,UniRef100_W7IW76,UniRef50_A0A2P4UD72;UniRef50_A0A365HAJ8,UniRef90_W7IW76,https://doi.org/10.1021/acscatal.5c03460,266
384,DP008,1,243,Herbihabitans rhizosphaerae,Actinomycetota,PET,,RZS45049,,,WP_130342639;WP_130342639.1,UPI00102B1983,A0A4Q7L5W5,UniRef100_A0A4Q7L5W5,UniRef50_P0DX29;UniRef50_A0A2P4UDC3,UniRef90_A0A4Q7L5W5,https://doi.org/10.1021/acscatal.5c03460,264
385,DP016,1,303,Actinomadura physcomitrii,Actinomycetota,PET,,MWA05158;MWA05158.1,,,WP_151597653.1,UPI00124D218B,A0A6I4MG66,UniRef100_A0A6I4MG66,UniRef50_A0A7D3VX47;UniRef50_A0A7K1L1I6,UniRef90_A0A7D3VX47,https://doi.org/10.1021/acscatal.5c03460,280
386,DP017,1,304,Actinokineospora xionganensis,Actinomycetota,PET,,MBC6451736,,,WP_187224800.1,UPI0016504B7B,A0ABR7LG92,UniRef100_A0ABR7LG92,UniRef50_A0A365H755,UniRef90_A0A1H0WDR5,https://doi.org/10.1021/acscatal.5c03460,257
387,DP021,1,305,Dactylosporangium sp.,Actinomycetota,PET,,MBT8227529.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,395
388,DP038,1,188,Rhizobacter sp.,Pseudomonadota,PET,,MBX3624429.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,266
389,DP039,1,14,Piscinibacter gummiphilus,Pseudomonadota,PET,,ARN20166;ARN20166.1,,,WP_085750434.1,UPI000A202151,A0A1W6L7G8,UniRef100_A0A1W6L7G8,UniRef50_A0A2U8FWH1;UniRef50_A0ABR6GM29,UniRef90_A0A1W6L7G8,https://doi.org/10.1021/acscatal.5c03460,267
390,DP040,1,253,Actinokineospora spheciospongiae,Actinomycetota,PET,,EWC64147,,,WP_233427406.1,UPI0003ECEC21,W7J542,UniRef100_W7J542,UniRef50_A0A365H755,UniRef90_W7J542,https://doi.org/10.1021/acscatal.5c03460,269
391,DP043,1,306,Actinoplanes sp. DH11,Actinomycetota,PET,,,,,WP_229068674.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,269
392,DP054,1,307,Actinomadura rayongensis,Actinomycetota,PET,,MXQ66241,,,WP_161104454.1,UPI0013533E06,A0A6I4W9J4,UniRef100_A0A6I4W9J4,UniRef50_A0A2P4UDC3,UniRef90_A0A2P4UDC3,https://doi.org/10.1021/acscatal.5c03460,261
393,DP056,1,15,,Actinomycetota,PET,,,MGYP001489421514,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,263
394,DP057,1,308,Acidimicrobiales bacterium,Actinomycetota,PET,,MBN2622270.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,287
395,DP059,1,15,,Actinomycetota,PET,,,MGYP001121581011,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,392
396,DP061,1,309,Paractinoplanes polyasparticus,Actinomycetota,PET,,,,,WP_221382552.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,404
397,DP068,1,15,,Actinomycetota,PET,,,MGYP000271253724,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,420
398,DP078,1,310,Pseudomonas fluvialis,Pseudomonadota,PET,,MBB6341764,,,WP_184682765.1,UPI00160F0CD1,A0A7X0EU44,UniRef100_A0A7X0EU44,UniRef50_A0A2K9LJV9,UniRef90_A0A7X0EU44,https://doi.org/10.1021/acscatal.5c03460,273
399,DP080,1,311,Thermoleophilaceae bacterium,Actinomycetota,PET,,MBJ7347705.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,259
400,DP081,1,15,,Actinomycetota,PET,,,MGYP000221121644,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,425
401,DP082,1,312,Paractinoplanes durhamensis,Actinomycetota,PET,,GIE05432,,,WP_203733135.1,UPI0019459E00,A0ABQ3Z6H3,UniRef100_A0ABQ3Z6H3,UniRef50_A0ABQ3Z6H3,UniRef90_A0ABQ3Z6H3,https://doi.org/10.1021/acscatal.5c03460,259
402,DP084,1,313,Hamadaea sp.,Actinomycetota,PET,,NUT34383.1,,,,,,,,,https://doi.org/10.1021/acscatal.5c03460,257
403,DP089,1,314,Promicromonospora panici,Actinomycetota,PET,,,,,WP_129786244.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,257
404,DP090,1,315,Streptomyces sp. ST2-7A,Actinomycetota,PET,,,,,WP_233872418.1,,,,,,https://doi.org/10.1021/acscatal.5c03460,268
